Rattings,Reviews
5,"Not for Gamers, High End Programmers, Multimedia Photo/Video Editors, CAD/CAM Users.Compactness and small in size is key feature that will amaze you.Recommendation1. Suitable for students2. Programmers can install lightweight IDE like VS code3. Don't think of installing DB packages like Oracle, MySQL, MSSQL Server as their process keep running which will eat up memory RAM.4. Ideal to keep this laptop if you have a high end desktop too. Intall big stuff there and work on either of your devices per your mobility needs. Like installing DB on desktop and doing development on this laptop.5. Heavy multi tasking is not recommended i.e. keeping many applications running in taskbar must be avoided. Plan your work and divide and concur. Open application that is needed now and close once done.6. Personal experience I keep Mail, MS Teams, VS Code for a 3000+ Java code files project, Few word and excel documents, Browser with average 8-10 tabs open and this doesn't lag.UpgradableRAM - no as this soldered to the motherboardSSD - Yes as this has NVMe PCIe Gen 3 SSD with M-key. Form Factor: 2242. The slot can also support 2280 SSD upto 2TB (I will post review once I upgrade)Best featuresDual band wifi5 ac protocol that gives immense speed and full utilization of my 100mbps connection.Touch and feel like a premium laptop, smooth finish, fine edges.Large keyboard keys doesn't feel clumsy.Enough large touchpad too.Goog battery backup between 4 - 6 hours depending upon brightness, process laptop is doing and WiFi usage while running on battery."
5,"1.Light weight, handy.2. Fast / good for basic multitasking3. Easy to use4. Suitable for travel and office/ student use5. Valu for money6. Battery backup.... decent**Overall ratings (4 to 4.5/5)**"
5,It's worth the price. The screen is not as big as it looks in the review pictures. It's compact. The keyboard is not cluttered and the OS is fast. Worth the cost especially if its your first laptop purchase.
5,ओपन नही हुआ प्रोडक्ट बहुत अच्छा है साइज में छोटा था और और मेरा तो कोई तकनीकी खराबी के कारण ओपन नही हो पाया था
5,"Tru value for money, this laptop is an ideal one-- smaller, lighter, speedy (slowed down wid upgrade to win11), aesthetics & appearance, efficient, RAM & HDD size etc.. excellent for normal usage, specially studies, data management etc...got gud deal wid exchange, cash back, no cost emi etc..Best delivery & shopping experience, all courtesy Amazon..Overall 5 star rating.."
5,"It was a 11.6 inch, I expected a little bigger size but this was a size of exact A4 sheet paper. The specifications was nice, had a cortona voice assistance and windows 10 OS already installed with 30 days McAfee antivirus and Microsoft office available. Good for normal office work and for students. The🔋 longed for 3-4 hours while I was usuing newly."
5,"Really serves my purpose of a very lightweight and small screen size 11.6” laptop with 30k range. There is a slight compromise on the HD Memory (256 GB) and Processor Celeron (Q4 ‘19 release N series) which is understandable from the price. However, really works smooth for official work/ Students."
3,"Product is good.. Mother Board problem occurred after 10 th day of use.But, good service provided by Lenovo team at my location."
5,This laptop is light weight but not value of money. Screen is so small..I told it exchanges but amazon not help me...
1,I don't like the product thus I want to return it but Amazon doesn't giving me the return option😭😭😭
1,0 rating..
5,Only the screen size is a concern rest is good
1,Hi
5,Quick heat when u work
5,Good
5,There is issue with battery backup
4,It's serves my needs.
1,Not resell value
2,Touch pad
5,Nice
3,Na
3,Accessories not available in box
5,Nice products awesome 😍 nice performance battery life 👍🏻 all other nice
5,"Awesome Product in affordable price.fullfills all daily requirements ,I am attending online training ,browsing n editing documents in same time.thanks Amazon"
1,"This laptop comes without basic, m.s. office, which ends up giving every year cost of addtional 5000 plus to use this laptop"
2,Laptop bag missing
4,"The performance is very good and it is fast. All features are good and as per the cost price, it is value for money, can't expect more for this price. However, the webcam resolution is a bit weak not giving a sharper picture but all in all, can't complain. I suggest going for it."
4,this laptop is good no problem so far i can use this for work but i can't use it to play games it stutters a bit but no problem with old games :) and no problem while doing work for the price i gave you guys i think its not bad! good work 😀
1,Ear jack is not working while inserting the ear plugs. Can it be justifiable.
3,"Package is almost open and deboy not coprate, and company also play game with me, regarding window 10 ,here no any app window, exale and note pad work.. Company  promise to give window 10 but not pre  installallation mother given any hard copy and soft  copy link.. Why cheat with client. It's not good... It's is a dabba without window 10...."
1,I purchaded this laptop 3 months back and since then it is very slow. Now to my surprise camera stopped working which is very rare for a new laptop. My kid is not able to attend the online classes i followed up with lenevo many times they are extremly slow after long follow up they said we accept cam not working and we will let you know when a new camera available . No sense of urgency or apology even they know how important classes are for kids now a days. Neither Lebenvo not amazon helps
3,"I do not like to write comments which can reduce a sale or hurt a business but this was absolute necessity... Bought this product in march, as I needed for lectures. But this laptop disappointed me, I do not do heavy work on it just browsing and using word files... It often hangs and slows down... Sometime microphone not working, done uninstall etc. etc...it works then in urgent situation it fails.... To make it clear, I am good with computers... I wonder what will happen with the people with very general knowledge!!… What else disappointed me was, no reply from customer care... as due to pandemic there was not so much possibility to  visit Customer Services. I have many files and daily work I wonder now I just have to keep it, because worry about loss of my time..."
5,I bough this for my wife for online classes. This is a budget buy and the product looks superb. She is very excited and using it since then without any issues.Its boots faster as it has ssd and the laptop has a censor. So when ever you opens the laptop it boots immediately without any lagging.Thank you amazon for providing such a beautiful piece of craft.
3,"It just a replacement for Tab and Mobile. If you are looking this laptop for Kids school purpose or office purpose then its processor is not so upto the mark. You cant keep multiple big file, multiple application  open and do video chat. Yes but its good if you want to have limited use like web surfing or need key board who are not comfortable using tabs."
5,Bought for my 3 year old online class. It works perfectly for that purpose and I don't use for any other purposes  just zoom meetings for daughter and little bit browsing. It's broad for my kid to view the camera. Speaker sound quality is average only. Light weight and suits my purpose
5,"review after continue use 3 month , it is celeron, but SSD, so processing fast , no hanging and supported all latest application(s) for online classes, sound dolby system super, . keyboard very flexible. but camera not good."
1,Post 20 days  reviews:Suddenly screen  turns black and then blue lines appear while online classes are going on. These all started 20 days after receiving. So the return window is gone.Good screen size and good internet connection. Moves bewteen tge tabs easily.  The keypad is swift. Good for attending online classroom.
3,"Good Product light and large screen. Available at less than Rs 28,000 from other sellers but sold for Rs 33,000. Amazon and seller MaxIT not recommended for buying laptop buy from other sites after comparison."
5,Awesome product.Super light weight.So fast. Awesome speed @Wifi.Audio quality is pretty good.Worth money.Good for online classes!!!
3,"This laptop Only basic usage.Display View angle are wrost,Sound is Good.Battery backup Nice."
4,For moderate coding you can use this laptop.I will not recommend it for gaming.For daily home use it is fab.Ssd storage(only 237 gb) makes its operation fast.
5,Don't think about other reviews I also thinked about and I had confused but it forcely ordered it it is very good product and so many reviews has a issue that there is no sound quality . For this issue u want to change the Dolby audio settings it is good for gaming .value of money don't think about another reviews just buy it picture is suprb it is very light weight (slim3)
4,All are good but Adapter slot is not a fully insertable one. Only 1/3 part of adapter can be interested that is why almost part of memory adapter is seen outside.
5,Its a laptop with all required feature to get started and just value for money go for it and you will like it.. Thanks fforFree for such amazing deal
3,Slim n thin laptop for badic daily use.. battery is average drains fast
1,Total rupee waste please every one don't by it product this is very low quality product and ms office not working not excel not word any one not working in the laptop all wastage...
4,For the price of the laptop it is very good.
5,Its battery backup is awesome. Not good for gaming. Its camera not good. Its trackpad is good
5,Awesome product
5,The boot time is minimal. I am using it for online classes for my kids.
5,Its value for money at this price for online school.my daughter is injoying her new laptop.it looks very slick and the keypad is also smooth in touch. because of SSD it's fast .
3,"It had great configuration for the money, but the speakers were too low volume and I cross checked with the similar model which had better sound. I informed the seller and they asked to reach Lenovo service with the warranty. But the centres here said no to online purchase warranty. Still trying to fix this."
4,"Value for money, sound quality is good. Display is not full HD."
5,I buy this laptop but in some software it's not working.some keys are also not working like F1 .........F12.pgup pgdown not working excpet this it's best laptop inthis price.
1,"Having worked with Acer, Dell and HP, wanted to try Lenovo and was disappointed as the machine was painfully slow from bootup to shutdown.Ordered a replacement and still the same. Going back to tried and tested HP.Update : problem occurred with HP too, was told the issue was unavailability of SSD. After installing SSD, HP machine was fast, maybe that was the issue with lenovo too"
5,I LIKE THIS LAPTOPTHE PROCESSOR IS ALSO FAST AND GOODBUTTHIS LAPTOP HAS ONLY ONE PROBLEM OF STARTING IT TAKES 3-4 MINS TO STARTBATTERY CAPACITY IS BETTERIT GETS DISCHARGE FAST IN DOING CLASSES OR PLAYING GAMESELSEIN DOING PERSONAL WORKS THE CAPACITY ENOUGH1 TB IS VERY GREAT IN THIS LAPTOP IN USING ALL SOFTWARE
1,Service given for installation .. I dont even know if it's in good condition .By the time this guys fix the installation service by then my exchange date would have been missed . No point in buying like this expensive stuffToo worst service on installation andnpoor packaging . I don't know if I got a right stuff. I was waiting for the installation guy to open the box
1,Defective product not starting
3,"As far as Laptop functionality consideration its working just fine but at the same time its accessaries also same importance , without charger/battery you can't operate  the laptop. Laptop charger stoped working and some liquid like contents from it started burning. Having no nearest service centre, It will cost me extra to buy new Charger. Company should provide well tested and good performing accessaries."
1,"Laptop Stoped Working in 1 Month and ""NO"" Support"" what so ever; Amzaon sends us to Lenovo. Lenovo has worst support system; initialy we were happy but as it stoped working and, we are strugling to get support from either Amzon or Lenovo.Will ""STRONGLY"" recomend not to buy, as it may be best product but of no use if it has no proper after sales support"
1,Got the one with better config. Hangs way too much though I haven't installed anything yet. Takes half hour just to start. Not sure what's the problem but it annoys me too much.Better pay bit more money and buy a better one from other brands.
2,Laptop is looks thin and light weight. But initial performnce is very low and not act as an 8GB ram.
1,"Several Features Issue & No one is ready to resolve the issue, Under 2 years warranty 3 players are passing the issue on each of them, End-user is the one who has to suffered due to technical and installation failure"
1,"I am disappointed as I have found it very below my expectations. In the very first week, it is behaving as if infected by virus. It does not have the common features I have enjoyed in other computers."
1,"It takes so much time to boot up and apps take long time to load, even after updating she software the issue remains same, its been month since I returned the order and i did not receive my refund."
1,"Overall very slow in performance, poor built quality, advise not to go for this, by the time I could return this the due date was over. Given for service."
5,I like the build quality but the charger is very ordinary.
1,Third class laptop charging problem and charger hitting problem please return
1,Laptop camera is not working since day one and Lenovo support team denied on site support asking to go to service center. What's is the benefit on buying this product through Amazon.
5,With that cost this product was amazing in Amazon. Thanks 👍
1,Worse of the money. Never ever buy it. If it's price will be 20k then also don't buy it. Very bad in everything.
5,Awesome laptop
4,"Well built & faster than HP, battery backup is satisfactory. Overall one of the best laptop in market in this range"
4,It looks very professional and its light weight. I have been using this for past 2 months. The laptop has become slow.
4,The camera is lacking in Google meet and is slightly slow but overall it's good n great.
1,The brand and members which send this product they are not working on to improve the rating of their company and products. I received two times a laptop with keyboard issue.
1,Please dont buy this product.. this laptop is not working and there is no support from Lenovo to replace it.
5,Nice
5,Good to goo
4,Speed of the laptop doesnt seem like it have a 8gb ram.. moreover like a 4gb ram laptop only.Other functions are good and okay..
1,From the I purchased this product we are getting blue screen
5,"A sleek compact light weight beauty. Going to surprise you how small it is yet it has an adequately sized 14 inch screen.Pros:Beautiful display, narrow bezels.Fast - thanks to SSD.Quite decent speakers. Clear and almost loud enough.Instant and effective face recognition.Good battery life - I get a good 8 hours atleast.Keyboard is quite responsive.Cons:Mousepad gets laggy like once a day and idk maybe it's a driver issue but got to check that."
4,Love how sleek and compact this laptop is. The speakers are great. The picture quality is crisp. Perfect for someone who prefers compact gadgets. Can be easily compared to Apple’s MacBook Pro.. and that too at half the price.. Haven’t been using it much though.. will post a detailed review soon.
5,"The ASUS ZenBook 14 UX433FA-A6113T has great looks and performs well as a lightweight laptop. I have had no problems with its functioning yet. The only disadvantage I see is the short vertical aspect of the screen, which can be a problem for users accustomed to larger screens. Often, the lower parts of popup menus are difficult to access. Also, its not easy to turn on the numberpad on the mousepad as the on/off button does not work well."
1,"I bought this laptop a year and 1 month ago.  at 4 months I had a problem and needed technical assistance, okay they fixed it.  Yesterday the battery icon started showing 255% charged (as if that were possible), it can't identify the battery anymore and I can only use the laptop plugged in. Do NOT buy this laptop, I saved my money to buy it and I am extremely upset 😢"
5,"Great value for this price. Adapter overheats a bit. Touchpad felt a little gimmicky at first but after the the new firmware update its working well. Screen is too glossy and reflects a lot. But still it gets pretty bright,the colours are sharp and crisp and it's a great device for media. Speakers are awesome, can get very loud while maintaining the clarity. Battery life is great. It can comfortably pull off a whole day at work ( you don't need to bring your charger with it).It's slim,sleek,light and the metal frame is a delight to hold in your hands.Would recommend it over any other product in this range of price."
5,I have been using this for last one year and observed following issues:1. It has a very weak wifi signal not even 5 meter.2. Extreamly weak Bluetooth signal not even 2 meter.3. Touchpad button used for numeric key is worst. Once you turn it on hard to turn it off.I would not recommend this product to buy.
1,Within two months the computer is hanging.  It appears that some keys are stuck up
1,The laptop gets hang again and again it have been just 6months and haven’t used much but whenever i use it gets hang
5,"If your need is light weighted laptop with basic functionalities, then nothing in market can beat this laptop. I would definitely recommend it. My life has become easier after buying it."
5,Good Laptop with the superb metallic build quality.Specs are outdated in the present scenario but sufficient to support daily requirements. Boot time is less than 3 seconds.
5,"This is the seventh laptop i bought and the best so far. I have bought  Mac pro, Lenovo, Hp, sony, LG and IBM earlier."
1,Product delivered is not as per specification s .Very disappointing
4,Its very handy. very nice laptop. superb configuration. looks attractive.The touch pad is very broad and keeps coming in a way while typing. Little inconvenient. you should check it before buying. Little irritating as well. Can work faster due to it.
4,I tried to contact the reseller for some commercial enquiry. Not friendly to share any information
5,Best laptop in the price range. Incomparable smooth performance. Just love it
4,It's pretty good.
5,"Superb performance, good look and finish"
4,The camera was defective. Had to return the product.
5,"Very good, smoothly"
4,Very good product
4,"Hey everyone, I got this like few months back and I have been using it for pretty much everything like gaming, productivity, programming, watching movies , web browsing etc. This one never let me down. But still there are some issues which I think needed attention, so sharing the quick pros and cons below:NOTE: I bought the i7 version with graphics card for around 83k on sale with bank offer, so yeah I got it at a good deal.  You can also give these HP laptop a try amzn.to/3jXmm2N its similarPros:========================Superb display with infinity edges (very less bezels). The build quality and design is just so gorgeousfast to boot and flies on day to day tasksSpeaker sound quality is usableFace unlock works 99% times and its quick. Even in dark scenarios it works well.On Moderate use you can get around 8-10hrs of battery backup, heavy use will last for like 4-5hoursSmooth keyboard, easy to type though keys are cramped============================Cons:==============================Sound is not loud as expected, anyway I always use it with my bluetooth speaker.Mousepad is a bit laggy at times and the overall experience is bad. I prefer the trackpad in my xps laptop.below average voice recognitionBecause of its design this laptop feels so fragile, I am sure it will not survive a drop. I already have dents around the edges (I work at a DC, so I keep moving around with this laptop)================================VERDICT: FOR SURE YOU WILL NOT FIND A LAPTOP OF THESE MUCH FEATURES IN THIS RANGE. but the trackpad can be a bit troublesome if you are not going to use a mouse at all. Anyway give this HP laptop here  a try amazon.in/gp/product/B07NMSWFS4 , the trackpad here is much more usable and overall a good package."
4,Regarding harddisk it should be provided 1TB and it provided with ms office for this price this as my part of requirements
5,A gpu would've been nice but when you look at it nobody plays games in an ultrabook so it's perfect
2,"Ya Ya83,990.00 For 2 years old laptop 😏"
1,TOTAL WASTE
1,Never buy asus zenbook ux430ua...Its the worst product you can get.It have consumed lot of my time..Its been not working properly since the firat day i bought it....And the service centres are very poor...Never buy the product if need a good one
2,"Laptop is decent. Problem is that the Acer Swift 3 (SF314-55G) comes with a i5 8265U, 72% NTSC panel, an SD card reader and MX 250 which undoubtedly is better than Ryzen integrated GPU. However, this laptop's screen is very washed out, colors lood really bad and unfortunately the pricing is almost 25% more than the variant I consider better. If you can't supply a good screen, it's a pointless laptop for me. Anyway, the Ryzen 4500U runs everything smoothly, this variant has 45% NTSC, no SD Card reader, slightly better keyboard, really bad speakers, wifi 6 is there but again, we're not ready for it...I would not recommend to buy at this price point, wait for it to go to 45k like SF314-55G before purchasing."
1,"4500u is not worth 59k in any sense without touch screen, or GPU."
3,"Laptop stopped working after 2 days. Gets restart by itself again and again. Acer customer care is not approachable, amazon laptop technician failed to turn up. I had finally returned the laptop, thanks to Amazon. Will look for cheaper products only again.Screen was dull., otherwise specs are good for this laptop. There was some manufacturing defect causing the laptop to restart again."
5,Perfect for students.
5,"Awesome laptop for its price. Wish it had better screen, better backlighting on keyboard and option of Ryzen 7."
5,"After one week of use , I can say that this is an excellent laptop in terms of build quality, design, performance etc. This is defenitely a value for money laptop go ahead and enjoy the performance of ryzen 4k"
1,The laptop started malfunctioning within 1 month of purchase.Issues faced1. Fan is making excessive noise2. Earphones or headphone are not detected easily3. Screen quality is bad so colour displayed is different4. The paint started chipping off within 1 monthThe acer customer care technicians replaced the fan but still the noise persists. They have said there is mother board issue but it has not yet been replaced.Pro1. It is light weight2. Copy speeds are fast due to the solid state chip
3,"Everything is great such as battery life, keyboard, processing power except Display quality which is not good and peak brightness is also very low.I choose this because it was only AMD 4000 powered laptop at the time of purchase but now we have other options so please check out others before buying this."
5,"Everything is good except for the mediocre display. Performance is top notch, no heating issues, excellent battery life (7 hours easily) and a premium build quality. The keyboard is pretty good too, the keys have decent travel.Bought this for 62k and I don't think there are better laptops at this price range. I know it's expensive but maybe wait for a price drop. Don't go for the Intel one, I prefer this one for regular usage."
5,"The one and only con : screen is not very colour accurate, and not super bright if you plan on working in the sun.Other than that, this laptop is absolutely amazing in every single other category. I'd recommend watching Dave2D's video on it.I'm so glad I bought this. :)"
3,"Performance wise, it’s good. Display is also ok. But Sound is very underwhelming, even my iPhone sounds louder. Very disappointed😟"
5,Good laptop for everyday use. I am not fond of gaming. I use it for coding and everyday tasks for which I am very much comfortable with this laptop. Battery life is very good. Feels so light as it just weighs 1.2 kgs. AMD Ryzen 4500U processor is very powerful. Overall its very good.
4,"Still, i feel like it's overpriced maybe. With no thunderbolt or gen 2 ports. Average web cam. Great sound with dts sound support. Fast, metallic(and also feels more heavy than 1.2 kg), fast booting and fingerprnt scanner . Had gapping bw the screen and the plastic cladding holding the screen, thus got it replaced. And also to mention , don't know why acer has not put a screen lens covering the camera sensor.Its all naked there."
5,value for money.
5,Nice laptop
5,Good product. Light weight. Nice speed.
5,Overall a great product for general use and basic video editing.
5,Premium look
5,"Light weight , portable and good performance for day to day tasks and good battery life."
5,"Wonderful laptop, best at every single aspect."
5,"Display- It's decent, not the best but it's good if you're not doing work that needs colours. (6/10)Build-quality- It has a all aluminum-magnesium chassis which makes it storng and light. It looks great. (8/10)Looks- It looks super premier with a metal chassis. The laptop is super thin and light. (9/10)Professor- It has an AMD Ryzen 5 4500U processor which is a champ. It 100 times better than the i5 version. I didn't find any major drawback except the fact that it gets a warm after playing heavy games which is totally normal. (10/10)Battery- Normally it gives more than 7-8 hours. While playing games it gives not more then 3 hours. With 20-30% brightness the laptop lasts for around 9 hours. (8.5/10)Keyboard- It is really good, the feel of trying is great. (10/10)*It switches on within 8 sec which is really fast. (Faster than Mac)*Finger print sensor is fast and good*Very light*61K is a little experience but trust me it's absolutely fine if you're paying this much for this device.Overall I recommend this if you want a laptop for office and college. Gaming is possible but it's not for gaming."
4,"My brother has this one. Good product with the latest Amd Ryzen 5. A good buy at this price range. If anyone tells it should be lower, tell them to go to hell because almost all the laptops these days with the same specs are of the similar price"
5,Laptop is verry good light weight no heatingFar better than i5 10th genLittle screen colour correction requiredPrice can be less wait for sales
1,ACER stop looting. This should be sold below 50k. Price is too high.The specifications are best for an affordable high performing machine. But the price is unjust.
1,"Decrease price rate , it's not value for money. Msi modern 15 is much better than this,  it's original price is 50k"
1,"Specifications and all are perfect in this laptop, but I've been facing BSOD error problems from the very first month. I've tried reaching service center several times but they never fixed the issue. This is not at all what you expect when you've spent 65k rupees on a laptop. Worst experience, never buying acer product again!"
3,It is expensive at this price. It should be under 50k. This is in my wishlist. But i cannot afford this. My budget is under 50k only. But i love this laptop. Waiting for good price 🤞🤞
2,One of the most stupid deals. Price is way higher than normal this laptop does not worth more than 50k as its screen quality is worse just 40 %srgb don't buy
4,Very slow and not good 8gb ram  according speed very slow and hang bad laptop plz don't money west
1,Really hate the product. Its wastage of money. Its taking too long to start and its making a wierd noice in the background its too heavy and large and is not handy at ol.worst part is that they are not even ready to refund nor replace. Really pissed off
5,The Product Worth it
5,"I bought this laptop with 8GB of ram and 1TB HDD, and AMD ryzen 3 3250U with integrated graphics.This laptop is good for taking online classes and web surfing.Most of them are afraid of buying AMD processor's but you would not find any heating issues, infact AMD gives more performance with low temperature.If you are a person who is for taking online classes and conference, then you can definately go for it.If need for more performance, then add some 250GB SSD.I will update my review after 6 months."
4,"After using it from last 40 days, I have observed all it's aspects deeply.At this prize laptop looks premium. Amazing Design, I got latop with in 3 days  today. It has Magnificent Processor... Amazing Display.. Easy to use.  Battery is also Good. Smooth Touch pad. Overall a genniune Product for Educational and Business Purpose. Go for It.If you want to get more advanced product just add some SDD....Minnor Issue:- It's making some noise while running over internet."
1,A used product that was damaged was delivered. Absolutely appalled by this service & I can't believe a new product paid for in full was delivered in this condition
3,"Pros:Display quality.Light weight.Decent sound.Good performance as per it's hardware.Cons:One main thing is it's GPU is shared memory not dedicated. Almost  2GB ram will allocated for Graphics. Felt like 4gb even it's 5.9gb usable.Design flaws are there, rough edges like unfinished .Heat vent is placed at bottom, so we have to keep alway on flat surface.Very thin bezel around display."
